address,clinic,phone,hours,services
"Московская обл, г Жуковский, ул Дзержинского, д.16",АО «Центральная больница экспертизы летно-испытательного состава» (АО «ЦБЭЛИС»),т.:8 498 4842102,пн-пт 08:00-16:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Пехотная, д.3 (м. Октябрьское поле,Панфиловская)","ГБУЗ ""МКНИЦ Больница 52 ДЗМ""",т.:84958703604,,Амбулаторно-поликлиническое обслуживание
"г Москва, г Зеленоград, д.2042",ГБУЗ «ГКБ им. М.П. Кончаловского ДЗМ»,т.:84992103415,пн-пт 08:30-17:00,Амбулаторно-поликлиническое обслуживание
"г Москва, г Зеленоград, Каштановая аллея, д.2, корп.7",ГБУЗ «ГКБ им. М.П. Кончаловского ДЗМ»,т.:8 499 7354430,пн-пт 08:30-17:00,Амбулаторно-поликлиническое обслуживание
"г Москва, г Зеленоград, ул Александровка, д.8",ГБУЗ «ГКБ им. М.П. Кончаловского ДЗМ»,"т.:84997293031, 89857803731","пн-пт 08:00-20:00, сб 09:00-14:00",Амбулаторно-поликлиническое обслуживание
"г Москва, Можайское шоссе, д.14, корп.1 (м.Кунцевская)",ГБУЗ «ГКБ им.М.Е.Жадкевича ДЗМ»,"т.:+74954436671, +79295066254","пн-пт 08:00-20:00, сб 10:00-17:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Саляма Адиля, д.2/44 (м. Октябрьское поле,Хорошёво)",ГБУЗ «Городская Клиническая Больница №67 им. Л.А. Ворохобова ДЗМ»,"т.:7 495 1776767 , +7 964 7216767",пн-пт 08:30-18:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Саляма Адиля, д.7, корп. 3 (м.Октябрьское поле,Хорошёво)",ГБУЗ «Городская Клиническая Больница №67 им. Л.А. Ворохобова ДЗМ»,т.:8 495 5303404,пн-пт 08:30-18:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Можайск, ул Амбулаторная, д.1",ГБУЗ «Можайская центральная районная больница»,т.:8 916 824 0 916,"пн-пт 08:00-20:00, сб 08:00-13:00",Амбулаторно-поликлиническое обслуживание
"Москва, Лобачевского ул, д.42 (м. Проспект Вернадского,Юго-Западная)","ГБУЗ города Москвы ""Городская клиническая больница № 31 имени академика Г.М. Савельевой департамента здравоохранения города Москвы""","т.:+7499 9369989, +7925 8848967, +7499 9369902, +7 985 0782400",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"г Москва, 2-й Боткинский проезд, д.5, корп.1 (м.Беговая,Динамо)",ГБУЗ города Москвы «Московский многопрофильный научно-клинический центр имени С.П. Боткина» Департамента здравоохраниения города Москвы,"т.:7 499 4900303, 7 800 6003141",,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Подольск, поселок Кузнечики, Парковый проезд, д.9, корп.1","ГБУЗ МО ""ПОКБ""",т.:89955052543,"пн-пт 08:00-20:00, сб 08:00-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Красногорск, Павшинский б-р, д.9",ГБУЗ МО «Красногорская больница»,т.:84955638228,"пн-пт 08:00-20:00, сб 09:00-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Красногорск, ул Карбышева, д.4",ГБУЗ МО «Красногорская больница»,т.:84955638228,"пн-пт 08:00-20:00, сб 09:00-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Лобня, ул Заречная, д.15",ГБУЗ МО «Лобненская центральная городская больница»,т.:495 5770273,"пн-пт 08:00-20:00, сб 08:00-13:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Ступино, ул Чайковского, д.7, корп.1",ГБУЗ МО «Ступинская центральная районная клиническая больница»,т.:84966423655,пн-пт 08:00-16:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Жуковский, ул Фрунзе, д.1",ГБУЗ Московской области «Жуковская ОКБ»,"т.:498 4874314, 89057664138",,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Апрелевка, г Наро-Фоминск, ул Февральская, д.40а",ГБУЗ Московской области «НФБ»,"т.:84963431886, 89082494400, 89175355261",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Верея, г Наро-Фоминск, Молодежный проезд, д.26",ГБУЗ Московской области «НФБ»,"т.:84963431886, 89082494400, 89175355261",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Верея, г Наро-Фоминск, ул Больничная, д.48/2",ГБУЗ Московской области «НФБ»,"т.:84963431886, 89082494400, 89175355261",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Наро-Фоминск, г Наро-Фоминск, ул Новикова, д.32",ГБУЗ Московской области «НФБ»,"т.:84963431886, 89082494400, 89175355261",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Наро-Фоминск, рп Селятино, г Наро-Фоминск, ул Больничная, д.1",ГБУЗ Московской области «НФБ»,"т.:84963431886, 89082494400, 89175355261",пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Луховицы, ул Жуковского, д.22А","ООО ""Азбука Здоровья""","т.:84966300300, 89851553000",,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Луховицы, ул Первомайская, д.47","ООО ""Азбука Здоровья""","т.:84966300300, 89851553000",,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Егорьевск, ул Советская, д.155/17","ООО ""Неомакс Егорьевск""",т.:84966100500,"пн-пт 07:30-20:00, сб 07:30-20:00, вс 07:30-18:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Краснопролетарская, д. 16, корп.2 (м.Достоевская, Новослободская)","ООО ""Рэмси Диагностика Рус""",т.:+7 495 2550300,круглосуточно,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Малая Пироговская, д.13 (м.Спортивная,Фрунзенская)","ООО ""Рэмси Диагностика Рус""",т.:+7 495 2550300,круглосуточно,Амбулаторно-поликлиническое обслуживание
"г Москва, Большой Афанасьевский пер, д.22 (м.Арбатская)",ООО «Аист»,"т.:84956910439, 84956320117",пн-вс 07:30-20:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Новочерёмушкинская, д. 44, корп.2 (м.Новые Черёмушки, Профсоюзная)",ООО «АЛМ Медицина»,т.:84992518300,"пн-пт 08:00-20:00, сб-вс 09:00-19:00",Амбулаторно-поликлиническое обслуживание
